duration_s,cpu_avg,cpu_max,cpu_total_core_s,mem_avg_mb,mem_peak_mb,rx_avg_bps,tx_avg_bps,rx_peak_bps,tx_peak_bps,rx_total_bytes,tx_total_bytes,matcher_name_prom,mode_prom,dataset_id_prom,run_id,vehicle_id_prom,adapter_prom,batch_size_prom,gps_accuracy_prom,precision,recall,f1_score,error_rate,accuracy,newson_krumm_error,matched_count,added_count,missing_count,ground_truth_count,total_gt_length,total_added_length,total_missing_length,vehicle_id_mm,experiment_id,dataset_id_mm,matcher_name_mm,mode_mm,adapter_mm,batch_size_mm,gps_accuracy_mm,matcher_name,mode,e2e_t0,e2e_t1,e2e_steps,e2e_total_points,e2e_execution_time_s,e2e_throughput_pps,e2e_avg_step_latency_ms,e2e_p50_step_latency_ms,e2e_p75_step_latency_ms,e2e_p95_step_latency_ms,e2e_p99_step_latency_ms,e2e_max_step_latency_ms,e2e_avg_inter_arrival_ms,e2e_p50_inter_arrival_ms,e2e_p75_inter_arrival_ms,e2e_p95_inter_arrival_ms,e2e_p99_inter_arrival_ms,e2e_max_inter_arrival_ms,e2e_avg_points_per_step,e2e_client_mem_peak_mb,e2e_client_cpu_time_ms
15.0,1.643417962580687,2.476855875679327,24.90064862843635,1433.74951171875,1492.90234375,1225.3551532773704,1726.482962164324,2708.8,4123.35,19605.682452437926,27623.727394629183,graphium,online,ohare_filtered_vid_1139_sr_1.0,16523baf49f64af2920f43fbc652ea15,1139,native,5.0,,0.9724066661810646,0.9139601320149386,0.942277955533341,0.0577220444666589,0.8908559299323965,0.1119747035810884,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,16523baf49f64af2920f43fbc652ea15,ohare_filtered_vid_1139_sr_1.0,graphium,online,native,5.0,,graphium,online,1768186303.645097,1768186306.6282284,18,112,2.9831314086914062,37.544440608176366,231.86827994423868,178.69535499994527,180.4829152515595,364.9185742484392,1027.250117248621,1192.8330029986682,175.47831815831802,178.727388381958,180.03344535827637,190.009069442749,213.15497398376462,218.94145011901853,6.222222222222222,314.90625,50.0
14.0,1.745557240990909,2.9354437441643326,24.904508870532425,1439.7828125,1491.48046875,709.4917107181085,657.340018827254,1297.4779426377595,1389.5,10642.375660771628,9860.10028240881,graphium,online,ohare_filtered_vid_1139_sr_1.0,324ea397c7a54ad18e1339fa50aed98c,1139,native,10.0,,0.9724066661810646,0.9139601320149386,0.942277955533341,0.0577220444666589,0.8908559299323965,0.1119747035810884,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,324ea397c7a54ad18e1339fa50aed98c,ohare_filtered_vid_1139_sr_1.0,graphium,online,native,10.0,,graphium,online,1768186319.2418065,1768186322.184718,10,112,2.942911386489868,38.05755093889763,413.1666141009191,351.05946700423374,355.1061452490103,837.1932640497098,1119.4810184079688,1190.052956997533,326.99018054538305,351.1335849761963,352.9839515686035,386.07015609741205,402.083568572998,406.0869216918945,11.2,328.1640625,40.0
14.0,1.653614896286314,2.772860250411028,23.48044812253988,1446.5838541666667,1493.328125,563.9373479312738,452.4488195557698,1118.05,1002.2249999999998,8459.060218969107,6786.732293336547,graphium,online,ohare_filtered_vid_1139_sr_1.0,565006ebd2e74bf4945c81eb16ab6a1b,1139,native,30.0,,0.9724066661810646,0.9139601320149386,0.942277955533341,0.0577220444666589,0.8908559299323965,0.1119747035810884,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,565006ebd2e74bf4945c81eb16ab6a1b,ohare_filtered_vid_1139_sr_1.0,graphium,online,native,30.0,,graphium,online,1768186334.7794547,1768186337.6457102,4,112,2.866255521774292,39.075371734711524,1012.9182492491964,1050.0740895004128,1089.0017045003333,1166.4909832990816,1181.9888390588312,1185.8633029987686,955.4185072580973,1043.5945987701416,1050.2358675003052,1055.548882484436,1056.6114854812622,1056.8771362304688,28.0,328.1640625,29.99999999999909
7.0,0.3789167622997243,0.4268250684003422,2.665077073965532,195.83984375,221.234375,16946.145207425034,152380.02037790918,19332.196680923866,209615.7988023952,135569.16165940027,1219040.1630232737,barefoot,online,ohare_filtered_vid_1139_sr_1.0,44a75e620a77492daa67aaf769ae6d9c,1139,native,,,0.9567359421962848,1.0,0.977889680017246,0.0221103199827539,0.9567359421962848,0.0452204792310804,12,2,0,12,686.8367047954366,31.0590849443458,0.0,1139,44a75e620a77492daa67aaf769ae6d9c,ohare_filtered_vid_1139_sr_1.0,barefoot,online,native,,,barefoot,online,1768186339.555332,1768186343.3938017,112,112,3.8384697437286377,29.17829434059957,34.39582833977641,34.430320498358924,35.62308849723195,37.23234155113459,38.0273421324091,39.42786800325848,34.580808502059796,34.56735610961914,35.793304443359375,37.38057613372803,38.146209716796875,39.59274291992188,1.0,328.4765625,199.99999999999818
12.0,0.3858149712044411,0.7263214388439305,4.518584978721318,295.95677083333334,349.31640625,1805.7163142276063,987.9397430740798,3221.175,1865.6000000000004,23474.31208495888,12843.216659963038,graphhopper,offline,ohare_filtered_vid_1139_sr_1.0,a06171e307184813a754e7f5924c407e,1139,batches,5.0,50.0,0.6096448552355125,0.9010381876931348,0.7272383152364477,0.2727616847635523,0.5713860842468323,0.6758958898681529,10,7,2,12,686.8367047954366,396.2595007163896,67.97060506543187,1139,a06171e307184813a754e7f5924c407e,ohare_filtered_vid_1139_sr_1.0,graphhopper,offline,batches,5.0,50.0,graphhopper,offline,1768186359.5836034,1768186363.482808,23,112,3.899204730987549,28.723805936610525,179.758928173333,181.3533759996062,183.1549754970183,194.47685020422796,229.01370906067316,238.57576199952743,177.2365678440441,181.4502477645874,182.98596143722534,188.82144689559937,193.97098779678342,195.30534744262692,4.869565217391305,328.4765625,90.0
12.0,0.3598572603666655,0.6290207397881997,4.049123644978451,296.2640625,350.59375,1371.8820578712164,504.9055688176157,2453.175,966.225,17834.466752325814,6563.772394629004,graphhopper,offline,ohare_filtered_vid_1139_sr_1.0,608460fff66a4536b938f45f7ed02113,1139,batches,10.0,50.0,0.6185282857910521,0.9010381876931348,0.7335218503317559,0.2664781496682441,0.579182396888492,0.6546689479755768,10,6,2,12,686.8367047954366,381.6800578940085,67.97060506543187,1139,608460fff66a4536b938f45f7ed02113,ohare_filtered_vid_1139_sr_1.0,graphhopper,offline,batches,10.0,50.0,graphhopper,offline,1768186369.843531,1768186373.480553,12,112,3.637022018432617,30.794424513345852,337.37243158308655,355.31499450007686,358.46560724894516,384.8593161514145,407.392335231707,413.0255900017801,330.63838698647237,355.4105758666992,357.5500249862671,361.5446090698242,361.89155578613287,361.97829246521,9.333333333333334,328.4765625,70.0
12.0,0.3423501377996035,0.6326177452554744,4.023580031540831,290.63046875,347.26953125,700.9093410209479,101.22696916993168,1268.6,216.0,9111.821433272322,1315.950599209112,graphhopper,offline,ohare_filtered_vid_1139_sr_1.0,e9ced9bb20504ff5826d53810bc7aa17,1139,batches,30.0,50.0,0.8410757357938846,0.9010381876931348,0.8700250270378352,0.1299749729621647,0.7699507049763362,0.2692161959570855,10,3,2,12,686.8367047954366,116.93695984329533,67.97060506543187,1139,e9ced9bb20504ff5826d53810bc7aa17,ohare_filtered_vid_1139_sr_1.0,graphhopper,offline,batches,30.0,50.0,graphhopper,offline,1768186380.5464275,1768186383.4203644,4,112,2.873936891555786,38.97093228771964,995.5997449997085,1052.356255499035,1066.8645759997162,1100.4947080011334,1107.2207344014168,1108.9022410014877,957.978884379069,1051.9905090332031,1052.5062084197998,1052.9187679290771,1053.0012798309326,1053.0219078063965,28.0,328.4765625,50.0
6.0,0.0026793162734527,0.0028753830311576,0.0163916485697018,8.85720486111111,11.7265625,1545.8276684283117,3074.819951953098,1750.447622884771,3535.7545259199574,10820.79367899818,21523.739663671688,osrm,offline,ohare_filtered_vid_1139_sr_1.0,306c9cb5d1f343deb935930fdf243682,1139,batches,10.0,,0.9539654288493308,0.9370951609662792,0.9454550445588796,0.0545449554411204,0.8965526217546523,0.1081253182648013,11,2,1,12,686.8367047954366,31.0590849443458,43.20535235760816,1139,306c9cb5d1f343deb935930fdf243682,ohare_filtered_vid_1139_sr_1.0,osrm,offline,batches,10.0,,osrm,offline,1768186413.9328904,1768186417.4783466,12,112,3.5454561710357666,31.589729105939114,321.4612412502902,347.3724020004738,347.626792250594,348.25219210215437,348.34878882225894,348.3729380022851,322.31419736688787,347.5964069366455,347.8271961212158,348.43599796295166,348.5278367996216,348.55079650878906,9.333333333333334,328.4765625,49.99999999999909
7.0,0.0018118587339286,0.0021254851787773,0.0130132260358124,5.499609375,7.34765625,880.5585837114813,1978.9897586254767,1167.9696566409368,2728.4161298908703,7044.468669691851,15831.918069003816,osrm,offline,ohare_filtered_vid_1139_sr_1.0,fa32725d10994fbe82fda08afc9f2eca,1139,batches,30.0,,0.9567359421962848,1.0,0.977889680017246,0.0221103199827539,0.9567359421962848,0.0452204792310804,12,2,0,12,686.8367047954366,31.0590849443458,0.0,1139,fa32725d10994fbe82fda08afc9f2eca,ohare_filtered_vid_1139_sr_1.0,osrm,offline,batches,30.0,,osrm,offline,1768186419.387451,1768186422.2215247,4,112,2.834073781967163,39.519084052307036,959.3059509970772,1019.903426997189,1036.467232495852,1036.9964792949759,1037.1023286548007,1037.1287909947569,944.6912606557211,1036.362886428833,1036.8160009384155,1037.1784925460815,1037.2509908676147,1037.269115447998,28.0,328.4765625,30.00000000000091
14.0,1.7355691555437702,2.906416098584164,24.735297080492927,1443.3330729166669,1495.43359375,126.86242186338283,4.176058015250744,311.8010654490106,11.538812785388128,1902.936327950743,62.64087022876116,graphium,online,ohare_filtered_vid_1139_sr_5.0,3c73fdda78914bddbdb104ed909cd762,1139,native,5.0,,0.9724066661810646,0.9139601320149386,0.942277955533341,0.0577220444666589,0.8908559299323965,0.1119747035810884,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,3c73fdda78914bddbdb104ed909cd762,ohare_filtered_vid_1139_sr_5.0,graphium,online,native,5.0,,graphium,online,1768186437.0336485,1768186437.0336485,1,23,0.0,,3873.981497999921,3873.981497999921,3873.981497999921,3873.981497999921,3873.981497999921,3873.981497999921,,,,,,,23.0,322.58203125,20.00000000000091
