run_id,precision,recall,f1_score,error_rate,accuracy,newson_krumm_error,matched_count,added_count,missing_count,ground_truth_count,total_gt_length,total_added_length,total_missing_length,vehicle_id,experiment_id,dataset_id,matcher_name,mode,adapter,batch_size,gps_accuracy
9452b53d65ad46e7bca784e891330c42,0.9724066661810646,0.9139601320149386,0.942277955533341,0.05772204446665896,0.8908559299323965,0.11197470358108846,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,16523baf49f64af2920f43fbc652ea15,ohare_filtered_vid_1139_sr_1.0,graphium,online,native,5.0,
318c151658d24539b965db7f45735ab1,0.9724066661810646,0.9139601320149386,0.942277955533341,0.05772204446665896,0.8908559299323965,0.11197470358108846,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,324ea397c7a54ad18e1339fa50aed98c,ohare_filtered_vid_1139_sr_1.0,graphium,online,native,10.0,
071f4bfd3a6e4ec488709d8baa97955b,0.9724066661810646,0.9139601320149386,0.942277955533341,0.05772204446665896,0.8908559299323965,0.11197470358108846,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,565006ebd2e74bf4945c81eb16ab6a1b,ohare_filtered_vid_1139_sr_1.0,graphium,online,native,30.0,
38862d8619234220aa348dcdeb4000e0,0.9567359421962847,1.0,0.9778896800172461,0.022110319982753923,0.9567359421962847,0.04522047923108049,12,2,0,12,686.8367047954366,31.059084944345802,0.0,1139,44a75e620a77492daa67aaf769ae6d9c,ohare_filtered_vid_1139_sr_1.0,barefoot,online,native,,
0ce2d2b28c90408f8c0bba7c7d41fac8,0.6096448552355125,0.9010381876931347,0.7272383152364477,0.27276168476355234,0.5713860842468323,0.6758958898681529,10,7,2,12,686.8367047954366,396.25950071638954,67.97060506543187,1139,a06171e307184813a754e7f5924c407e,ohare_filtered_vid_1139_sr_1.0,graphhopper,offline,batches,5.0,50.0
f4951e8be66c42ebbca2702dae240906,0.6185282857910521,0.9010381876931347,0.7335218503317559,0.2664781496682441,0.579182396888492,0.6546689479755768,10,6,2,12,686.8367047954366,381.6800578940085,67.97060506543187,1139,608460fff66a4536b938f45f7ed02113,ohare_filtered_vid_1139_sr_1.0,graphhopper,offline,batches,10.0,50.0
bd63b0e240c3424fac1e418227c02118,0.8410757357938846,0.9010381876931347,0.8700250270378352,0.12997497296216476,0.7699507049763362,0.26921619595708557,10,3,2,12,686.8367047954366,116.93695984329531,67.97060506543187,1139,e9ced9bb20504ff5826d53810bc7aa17,ohare_filtered_vid_1139_sr_1.0,graphhopper,offline,batches,30.0,50.0
a74a4b547fdd49d28c55072d593c1a53,0.9539654288493309,0.9370951609662792,0.9454550445588795,0.05454495544112048,0.8965526217546523,0.1081253182648013,11,2,1,12,686.8367047954366,31.059084944345802,43.20535235760816,1139,306c9cb5d1f343deb935930fdf243682,ohare_filtered_vid_1139_sr_1.0,osrm,offline,batches,10.0,
8f879256828f47d98622efb4bce79ff8,0.9567359421962847,1.0,0.9778896800172461,0.022110319982753923,0.9567359421962847,0.04522047923108049,12,2,0,12,686.8367047954366,31.059084944345802,0.0,1139,fa32725d10994fbe82fda08afc9f2eca,ohare_filtered_vid_1139_sr_1.0,osrm,offline,batches,30.0,
aefc14e63f594a9ca4daea4212924a6f,0.9724066661810646,0.9139601320149386,0.942277955533341,0.05772204446665896,0.8908559299323965,0.11197470358108846,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,3c73fdda78914bddbdb104ed909cd762,ohare_filtered_vid_1139_sr_5.0,graphium,online,native,5.0,
e58dd51b1de246298e60ce7a8b70b28a,0.9724066661810646,0.9139601320149386,0.942277955533341,0.05772204446665896,0.8908559299323965,0.11197470358108846,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,e6dfe23bf69e499c922fb7106a8fc9e5,ohare_filtered_vid_1139_sr_5.0,graphium,online,native,10.0,
1f734e298a17477ab15f45d5b8c7c0ab,0.9724066661810646,0.9139601320149386,0.942277955533341,0.05772204446665896,0.8908559299323965,0.11197470358108846,10,1,2,12,686.8367047954366,17.812997020186607,59.09533940789397,1139,b47def90b2184d148b806ae1b7d8095d,ohare_filtered_vid_1139_sr_5.0,graphium,online,native,30.0,
1c7ac6705a4543649ad6673b4644604a,1.0,1.0,1.0,0.0,1.0,0.0,12,0,0,12,686.8367047954366,0.0,0.0,1139,8582086d10da45ba95bd6f5b19044a75,ohare_filtered_vid_1139_sr_5.0,barefoot,online,native,,
d4be4fb5050e47cc8533fb70bce4cea9,0.7937487818930007,0.7475546185141083,0.7699594611772499,0.2300405388227501,0.6259626710467318,0.44669330247461647,7,4,5,12,686.8367047954366,133.41660196526,173.3887539605968,1139,c4e24b8806ae4c998b159619b9f185bc,ohare_filtered_vid_1139_sr_5.0,graphhopper,offline,batches,5.0,50.0
e2a0da31222948e7b5e4f573ca6de1a3,0.7937487818930007,0.7475546185141083,0.7699594611772499,0.2300405388227501,0.6259626710467318,0.44669330247461647,7,4,5,12,686.8367047954366,133.41660196526,173.3887539605968,1139,ba9505be1dd84fd2bae54247941d850e,ohare_filtered_vid_1139_sr_5.0,graphhopper,offline,batches,10.0,50.0
b5a7f66d664e4e6b9952b945745ccd51,0.8410757357938846,0.9010381876931347,0.8700250270378352,0.12997497296216476,0.7699507049763362,0.26921619595708557,10,3,2,12,686.8367047954366,116.93695984329531,67.97060506543187,1139,5ca4a2fe5dbf44f5bf1be0fc6cef78cd,ohare_filtered_vid_1139_sr_5.0,graphhopper,offline,batches,30.0,50.0
a5643c0d56824525a50896f06fdbf9e4,0.970691663654941,0.794665599639411,0.8739027379918096,0.12609726200819038,0.7760455224208275,0.2293279376990936,8,1,4,12,686.8367047954366,16.4796421219647,141.03120292481393,1139,55881f22862a47bdbfa800929d4d8be0,ohare_filtered_vid_1139_sr_5.0,osrm,offline,batches,5.0,
c76396d0211546949b778766249e4bcb,0.970691663654941,0.794665599639411,0.8739027379918096,0.12609726200819038,0.7760455224208275,0.2293279376990936,8,1,4,12,686.8367047954366,16.4796421219647,141.03120292481393,1139,84cf1e82824f4828bc8d5d0e4403f2ce,ohare_filtered_vid_1139_sr_5.0,osrm,offline,batches,10.0,
c80cf3278d204c959be2fe43b423c54e,1.0,0.8348799570567028,0.9100104383895701,0.08998956161042992,0.8348799570567029,0.16512004294329727,9,0,3,12,686.8367047954366,0.0,113.41050619085529,1139,93f77c36abc549648d09c9715cad3e8c,ohare_filtered_vid_1139_sr_5.0,osrm,offline,batches,30.0,
9ac1374cd1014cba8b79166ff02ffc61,1.0,1.0,1.0,0.0,1.0,0.0,12,0,0,12,686.8367047954366,0.0,0.0,1139,dff30ba70d4a435ea4b9e239072def1c,ohare_filtered_vid_1139_sr_10.0,graphium,online,native,5.0,
b801254834bf4d98b3742760080081de,1.0,1.0,1.0,0.0,1.0,0.0,12,0,0,12,686.8367047954366,0.0,0.0,1139,48a45425de8048ffac7321e958e17075,ohare_filtered_vid_1139_sr_10.0,graphium,online,native,10.0,
5b6b3b7880484fc19963af1304260a22,1.0,1.0,1.0,0.0,1.0,0.0,12,0,0,12,686.8367047954366,0.0,0.0,1139,2d1adfd4f5684f95957aee154657f78f,ohare_filtered_vid_1139_sr_10.0,graphium,online,native,30.0,
d5177f7290e046f5acadf1e10ed21ffd,1.0,1.0,1.0,0.0,1.0,0.0,12,0,0,12,686.8367047954366,0.0,0.0,1139,5c40fa895cbf4d15acfd4a577a3c62bf,ohare_filtered_vid_1139_sr_10.0,barefoot,online,native,,
a70eaf86cf2c455fab0dc8a357747dc2,0.7288032672514516,0.45753483019727403,0.5621548862777266,0.4378451137222734,0.39097040488765017,0.7127195534529462,4,3,8,12,686.8367047954366,116.93695984329531,372.58498969360136,1139,b97862be054249368a0015325613915e,ohare_filtered_vid_1139_sr_10.0,graphhopper,offline,batches,5.0,50.0
a90f022df3ef4f6bbd6eeac36bebf843,0.7797018241626008,0.6025817190685059,0.6797940521906328,0.3202059478093672,0.5149151564713239,0.5676726645817144,7,3,5,12,686.8367047954366,116.93695984329531,272.96146250045456,1139,75227ce4e79c4ba3bb36c623c33bbb9d,ohare_filtered_vid_1139_sr_10.0,graphhopper,offline,batches,10.0,50.0
fd4f4698abbb48909a5fc3a1a231b92f,0.8410757357938846,0.9010381876931347,0.8700250270378352,0.12997497296216476,0.7699507049763362,0.26921619595708557,10,3,2,12,686.8367047954366,116.93695984329531,67.97060506543187,1139,f03e8a28fd2a4ac1a5520524b945c4e9,ohare_filtered_vid_1139_sr_10.0,graphhopper,offline,batches,30.0,50.0
5049d79d1fa146509a3e2579d05e81f0,1.0,0.5945097742125218,0.7456959923699827,0.25430400763001726,0.5945097742125218,0.4054902257874781,6,0,6,12,686.8367047954366,0.0,278.50557050662906,1139,c50f957187ab4adb96dd435f7fb43a23,ohare_filtered_vid_1139_sr_10.0,osrm,offline,batches,5.0,
b20c53fdfd414d3facbccfc3325cded8,1.0,0.6347241316298137,0.7765519812777171,0.22344801872228293,0.6347241316298136,0.36527586837018633,7,0,5,12,686.8367047954366,0.0,250.88487377267043,1139,fe4cd719aaf541c7a4d787af0411fc9c,ohare_filtered_vid_1139_sr_10.0,osrm,offline,batches,10.0,
5ea9c0930cda4e8d99ca94e81b1b33ae,1.0,0.6347241316298137,0.7765519812777171,0.22344801872228293,0.6347241316298136,0.36527586837018633,7,0,5,12,686.8367047954366,0.0,250.88487377267043,1139,cd7e62f9d0294c0282564b5e5de68df1,ohare_filtered_vid_1139_sr_10.0,osrm,offline,batches,30.0,
4e1a45f8574d473f876ed56a100e779d,0.9686256623235954,0.800690920253204,0.8766885254839172,0.12331147451608282,0.7804500758452506,0.22524391534282304,8,1,4,12,686.8367047954366,17.812997020186607,136.89279156910027,1139,cca48131970e4897886cb193e8e87654,ohare_filtered_vid_1139_sr_20.0,graphium,online,native,5.0,
554bc60c845746ad88e799b7d54e878d,0.9686256623235954,0.800690920253204,0.8766885254839172,0.12331147451608282,0.7804500758452506,0.22524391534282304,8,1,4,12,686.8367047954366,17.812997020186607,136.89279156910027,1139,cdcf044ff20e4bd88910efe57b5af999,ohare_filtered_vid_1139_sr_20.0,graphium,online,native,10.0,
518cfcbcee7f4ea4933f25849cc19f3a,0.9686256623235954,0.800690920253204,0.8766885254839172,0.12331147451608282,0.7804500758452506,0.22524391534282304,8,1,4,12,686.8367047954366,17.812997020186607,136.89279156910027,1139,ce5e2ebc61ea4e9c98c0206de7bba1d2,ohare_filtered_vid_1139_sr_20.0,graphium,online,native,30.0,
cf8460abd171425fa0deba72d2c4a879,1.0,0.8867307882382655,0.9399653557000045,0.0600346442999955,0.8867307882382657,0.1132692117617346,10,0,2,12,686.8367047954366,0.0,77.79745216120631,1139,aa3d52cd19f2453bb34d5625e33848ab,ohare_filtered_vid_1139_sr_20.0,barefoot,online,native,,
94f33d17fc4a44a1905aa2b58516730e,0.982560566880362,0.6025817190685059,0.7470282519468321,0.2529717480531679,0.5962051842809253,0.4081134827776021,7,1,5,12,686.8367047954366,7.345857193102835,272.96146250045456,1139,e99b274104dc4de3b3935a1429450a2e,ohare_filtered_vid_1139_sr_20.0,graphhopper,offline,batches,5.0,50.0
9c24a5cf5260413298eaf4cd28bcd6f3,0.9866052828119635,0.7877689759314002,0.8760463351623753,0.12395366483762471,0.7794327849706649,0.22292622591470784,8,1,4,12,686.8367047954366,7.345857193102835,145.76805722663818,1139,e9e79b833c7d4e50a104edf22accd133,ohare_filtered_vid_1139_sr_20.0,graphhopper,offline,batches,10.0,50.0
68f7be49241547c996e20767e824e68c,0.9866052828119635,0.7877689759314002,0.8760463351623753,0.12395366483762471,0.7794327849706649,0.22292622591470784,8,1,4,12,686.8367047954366,7.345857193102835,145.76805722663818,1139,36837e3a0e3c4a67b6252b150c8bb673,ohare_filtered_vid_1139_sr_20.0,graphhopper,offline,batches,30.0,50.0
7ef1f6d5669e4e6f91cb94a9e85d8244,0.9516687529300328,0.5106711319363697,0.6646741490356773,0.33532585096432266,0.4977617624609561,0.5152637036596573,5,1,7,12,686.8367047954366,17.812997020186607,336.0890273021048,1139,0237c55350bf43b2a1e8e24b69adb434,ohare_filtered_vid_1139_sr_20.0,osrm,offline,batches,5.0,
e1748de6c57341e1a8f3aeef8e82059d,0.9640688846618712,0.695858388799264,0.8082949554452517,0.19170504455474835,0.6782676293421678,0.3300764467967631,6,1,6,12,686.8367047954366,17.812997020186607,208.89562202828841,1139,f5439115682b49cc9f0cd5eec6279eea,ohare_filtered_vid_1139_sr_20.0,osrm,offline,batches,10.0,
10eb4b8eeab24175bdabf9c381aebed4,0.9640688846618712,0.695858388799264,0.8082949554452517,0.19170504455474835,0.6782676293421678,0.3300764467967631,6,1,6,12,686.8367047954366,17.812997020186607,208.89562202828841,1139,c041946c679f4b75b2f73e72c1d909ec,ohare_filtered_vid_1139_sr_20.0,osrm,offline,batches,30.0,
083512add447475bae66d8e93a8d663a,1.0,0.9294034067505252,0.9634101437768411,0.03658985622315891,0.9294034067505254,0.07059659324947475,7,0,1,8,449.47459172914563,0.0,31.73137492827622,1552,c93478fa74fe4bf5a1e954c2255982ee,ohare_filtered_vid_1552_sr_1.0,graphium,online,native,5.0,
917a0c6a3147481194f554b7e5db6e2c,1.0,0.9294034067505252,0.9634101437768411,0.03658985622315891,0.9294034067505254,0.07059659324947475,7,0,1,8,449.47459172914563,0.0,31.73137492827622,1552,a502eb9cb57f4fa693ff85b78fc5b5c4,ohare_filtered_vid_1552_sr_1.0,graphium,online,native,10.0,
061d3f66eccb4abcbc8161def5f32bd9,1.0,0.9294034067505252,0.9634101437768411,0.03658985622315891,0.9294034067505254,0.07059659324947475,7,0,1,8,449.47459172914563,0.0,31.73137492827622,1552,c3148a8a30c74705940d0ca9ac4be726,ohare_filtered_vid_1552_sr_1.0,graphium,online,native,30.0,
0b8a92fdd8b64eccb2235a2cf93d72b5,1.0,1.0,1.0,0.0,1.0,0.0,8,0,0,8,449.47459172914563,0.0,0.0,1552,a3de41fb66eb4ea6b3d536ff618d95ef,ohare_filtered_vid_1552_sr_1.0,barefoot,online,native,,
c13b5c4fbc2b459aaa70b178ce303a35,0.4740652110688548,0.6084154421945758,0.5329030022882648,0.4670969977117352,0.3632363798163624,1.0665694326744166,6,3,2,8,449.47459172914563,303.3885510550889,176.00730924703103,1552,f8d9553c6f4c4c338ade1a1275a8d4ca,ohare_filtered_vid_1552_sr_1.0,graphhopper,offline,batches,5.0,50.0
37389cd364a34f088d88cd2e9fdd4a0c,0.4992403200297191,0.6084154421945758,0.5484475058610061,0.4515524941389939,0.37783511659102925,1.0018516173734413,6,3,2,8,449.47459172914563,274.2995374450807,176.00730924703103,1552,fa51daf5529542da8fcbd725d1549b7d,ohare_filtered_vid_1552_sr_1.0,graphhopper,offline,batches,10.0,50.0
